category,question,option1,option2,option3,option4,correct
國語,「詩聖」是杜甫，「詩仙」是李白，那誰又被稱為「師佛」？,孟皓然,白居易,王維,,3
國語,成語「病入膏肓」當中的膏指的是心臟，而肓指的是？,肺,肝,橫隔膜,,3
國語,成語「直搗黃龍」中的「黃龍」指的是？,一個土塵,一個車營,一個都城,,3
國語,以下哪個成語沒有「妻管嚴」的意思？,季常之廦,河東獅吼,暴虎馬河,,3
國語,「花徑不曾緣客掃，逢門今始為君開」其中的「逢門」是形容？,生意興隆的意思,住所的門很豪華,居住的地方很貧瘠,,3
國語,常言道「十年河東，十年河西」這條河指的是？,黃河,長江,河,,1
國語,一切為了愛！所以女為悅己者為榮，請問士為「 」者死？,忠義,紅顏,知己,,3
國語,成語「五臟六腑」，五臟是指心、肝、脾、肺、腎，請問以下哪個是「六腑」的其中之一？,胰臟,盲腸,膀胱,,3
國語,成語『慘綠少年』是指風度翩翩、意氣風發的青年才俊？,O (正確),X (錯誤),,,1
國語,成語「曾參殺人」是比喻？,不可能的事,流言的可怕,不得了的事,,2
國語,「唐詩三百首」是由哪個朝代的人所編輯的？,唐朝,宋朝,清朝,,3
國語,戰國時代的吳國詩人屈原，最著名的作品叫『離騷』？,O (正確),X (錯誤),,,2
國語,網路上流行的『囧』字，正確的意思是什麼？,光輝明亮,出糗尷尬,風和日麗,,1
國語,成語『信口雌黃』其中『雌黃』是代表？,說話缺德的人,一種黃色礦物,端午的雄黃酒,,2
國語,『人生以服務為目的』這句話是哪個偉人說的？,孫中山,蔣中正,胡適,,1
國語,『三姑六婆』原指中國女性的什麼？,稱謂,地位,職業,,3
國語,『聞雞起舞』與『一曝十寒』都是形容發憤圖強的意思？,O (正確),X (錯誤),,,2
國語,『不敢越雷池一步』是形容界限嚴格分明，『雷池』其實是？,一個湖,一個人,一個城,,1
國語,用來形容色彩鮮豔奪目的五彩繽紛，當中的『五彩』原本是指？,紅黃白黑青,藍青黃紅黑,黃紅紫青白,,1
國語,『馬』和『鳥』的部首，一樣都是『火』部？,O (正確),X (錯誤),,,2
國語,「三更半夜」中的「三更」是指？,晚上 11 點至 1 點,凌晨 1 點至 3 點,凌晨 3 點至 5 點,,1
國語,小寶寶出生後的第一次『生日』俗稱什麼？,報喜,收涎,度脺,,3
國語,俚語『一兼二顧，摸蜊仔兼洗褲』同義的成語應該是？,一舉兩得,一勞永逸,一鳴驚人,,1
國語,台灣俗諺『一句來、一句去』的意思是指？,喋喋不休人聒噪,離經叛道愛頂嘴,七嘴八嘴講是非,,2
自然,下雨天時總是先看到閃電才聽到雷聲，那是因為？,閃電是雷的前導預兆,光速比音速快,視覺較聽覺敏銳,,2
自然,大肚魚是用什麼方式繁殖的？,胎生,卵生,卵胎生,,3
自然,犀牛都是迎著風、站著睡，藉由嗅覺與聽覺，保持警覺？(註：其實是背著風),O (正確),X (錯誤),,,2
自然,以下那一種動物行為『不屬於』下雨前的特徵？,飛蛾低飛,螞蟻搬家,癩蝦蟆白天出洞,,1
自然,一天當中的哪個時候，公園的空氣『含氧量』最高？,清晨,中午,傍晚,,3
自然,以下哪一種動物不會雌雄同體的現象？,蚯蚓,石斑魚,魷魚,,3
自然,挑選小黃瓜的秘訣是外表越刺越好而且越直的小黃瓜口感月清脆？,O (正確),X (錯誤),,,1
自然,通常在滿月和新月時潮汐現像稱為『大潮』因為地球、月亮和太陽位置形成直角？,O (正確),X (錯誤),,,2
自然,蜘蛛會吐絲結網捕捉獵物，那他所吐的絲其實是？,腹部的黏液,嘴裡的口水,前肢紡絲器黏液,,1
自然,小蜜蜂跳著８字舞是想告訴同伴，香甜的蜂蜜就在？,眼前不遠處,１００公尺內,１００公尺外,,3
自然,以下那個物品沒有用到『電磁爐』？,電話,電冰箱,電子雞,,3
自然,以下那種野生動物屬於『夜行性』？,野兔,山豬,野狗,,1
自然,夸父追日最後夸父倒下的地方變成？,一座山,一個湖,一片桃樹林,,3
自然,削好的蘋果，放久了會變色，這是因為果肉中的『多酚類』氧化的結果？,O (正確),X (錯誤),,,1
自然,小康去超市買葡萄，發現葡萄表面卻有一層白白的，那是？,果粉,農藥,果蠟,,1
自然,以下哪一個不是地震時該做的事情？,立刻關閉瓦斯,躲在床底下,打開窗戶,,2
自然,水蠆（ㄔㄞˋ）是哪一種昆蟲的小時候？,蜻蜓,蚊子,蒼蠅,,1
社會,東港在屏東，南港在台北，北港在雲林；請問西港在哪裡？,台南,屏東,新竹,,1
社會,台灣最小的市是「台北永和」，請問最小的鄉鎮是哪裡？,苗栗 公館鄉,雲林 虎尾鎮,宜蘭 羅東鎮,,3
社會,頭城這地名由來是依據？,先人開墾事蹟,氣候關係,地理位置,,1
社會,馬雅人的金字塔與埃及相同，都是帝王的陵墓？,O (正確),X (錯誤),,,2
社會,宋江陣勢已『三國志』的故事為背景，是三國時代常用的一種軍事陣法？,O (正確),X (錯誤),,,2
社會,台語的『胖』指的是麵包，這個發音最早原自？,日語,西班牙語,葡萄牙語,,3
社會,中國人稱自己是『炎黃子孫』，其中『黃』是黃帝而『炎』指的是炎帝伏羲氏？,O (正確),X (錯誤),,,2
社會,花蓮是台灣的『後山』，以下哪一個『不』曾是它的舊名？,回瀾,奇萊,里鬧,,3
社會,中國傳統婚禮習俗中，新娘採瓦片代表的是？,歲歲平安,去掉穢氣,不要生女兒,,3
社會,台灣諺語頂港有名聲，下港有出名請問頂港、下港是用什麼來分界？,大安溪,大甲溪,濁水溪,,3
社會,漢朝稱為『身毒』的是現今哪一個國家？,緬甸,阿富汗,印度,,3
社會,台灣素有『珊瑚潭』之稱的水庫？,翡翠水庫,曾文水庫,烏山頭水庫,,3
